X,vcode,imageFile,basname,spcname,cond,resp,resp.raw,pos_tagged,parsed,dep_parsed,tags_only,tokens,head_noun,objName,head_noun_orig,preNomMod,postNomMod,type_mod,preNomModstr,postNomModstr,preNomTags,postNomTags,type_mod_Left,type_mod_Right,actionL,state_verbL,withL,textL,part_or_objectL,colourL,positionL,sizeL,shapeL,orientationL,ageL,materialL,other_adjL,visual_patternL,actionR,state_verbR,withR,textR,part_or_objectR,colourR,positionR,sizeR,shapeR,orientationR,ageR,materialR,other_adjR,visual_patternR,visualL,pos_orientL,eventualityL,part_otherL,visualR,pos_orientR,eventualityR,part_otherR,anyR,anyL,notagsR,notagsL
2757,2949171,boat_ship_ambi_unspec_2806560.png,boat,ship,unsp,the boat with red life preserver,the boat with red life preserver,"[('the', 'DT'), ('boat', 'NN'), ('with', 'IN'), ('red', 'JJ'), ('life', 'NN'), ('preserver', 'NN')]","(ROOT
  (NP
    (NP (DT the) (NN boat))
    (PP (IN with)
      (NP (JJ red) (NN life) (NN preserver)))))","[(ROOT, 0, 2), (det, 2, 1), (case, 6, 3), (amod, 5, 4), (compound, 6, 5), (nmod, 2, 6)]","['DT', 'NN', 'IN', 'JJ', 'NN', 'NN']","['the', 'boat', 'with', 'red', 'life', 'preserver']",boat,boat,boat,['--'],"['with', 'red', 'life', 'preserver']","['colour', 'with', 'part_or_object']",--,with red life preserver,['DT'],"['IN', 'JJ', 'NN', 'NN']",['--'],"['colour', 'with', 'part_or_object']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,True,True,False,False,True
6746,1504427,boat_ship_ambi_unspec_2806560.png,boat,ship,unsp,the boat with red buoy,the boat with red buoy,"[('the', 'DT'), ('boat', 'NN'), ('with', 'IN'), ('red', 'JJ'), ('buoy', 'NN')]","(ROOT
  (NP
    (NP (DT the) (NN boat))
    (PP (IN with)
      (NP (JJ red) (NN buoy)))))","[(ROOT, 0, 2), (det, 2, 1), (case, 5, 3), (amod, 5, 4), (nmod, 2, 5)]","['DT', 'NN', 'IN', 'JJ', 'NN']","['the', 'boat', 'with', 'red', 'buoy']",boat,boat,boat,['--'],"['with', 'red', 'buoy']","['colour', 'with', 'part_or_object']",--,with red buoy,['DT'],"['IN', 'JJ', 'NN']",['--'],"['colour', 'with', 'part_or_object']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,True,True,False,False,True
6463,4663449,boat_ship_ambi_unspec_2806560.png,boat,ship,unsp,the boat with a red buoy,the boat with a red buoy,"[('the', 'DT'), ('boat', 'NN'), ('with', 'IN'), ('a', 'DT'), ('red', 'JJ'), ('buoy', 'NN')]","(ROOT
  (NP
    (NP (DT the) (NN boat))
    (PP (IN with)
      (NP (DT a) (JJ red) (NN buoy)))))","[(ROOT, 0, 2), (det, 2, 1), (case, 6, 3), (det, 6, 4), (amod, 6, 5), (nmod, 2, 6)]","['DT', 'NN', 'IN', 'DT', 'JJ', 'NN']","['the', 'boat', 'with', 'a', 'red', 'buoy']",boat,boat,boat,['--'],"['with', 'a', 'red', 'buoy']","['colour', 'with', 'part_or_object']",--,with a red buoy,['DT'],"['IN', 'DT', 'JJ', 'NN']",['--'],"['colour', 'with', 'part_or_object']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,True,True,False,False,True
5384,8998977,boat_ship_ambi_unspec_2806560.png,boat,ship,unsp,the boat with the red circle,the boat with the red circle,"[('the', 'DT'), ('boat', 'NN'), ('with', 'IN'), ('the', 'DT'), ('red', 'JJ'), ('circle', 'NN')]","(ROOT
  (NP
    (NP (DT the) (NN boat))
    (PP (IN with)
      (NP (DT the) (JJ red) (NN circle)))))","[(ROOT, 0, 2), (det, 2, 1), (case, 6, 3), (det, 6, 4), (amod, 6, 5), (nmod, 2, 6)]","['DT', 'NN', 'IN', 'DT', 'JJ', 'NN']","['the', 'boat', 'with', 'the', 'red', 'circle']",boat,boat,boat,['--'],"['with', 'the', 'red', 'circle']","['colour', 'shape', 'with', 'part_or_object']",--,with the red circle,['DT'],"['IN', 'DT', 'JJ', 'NN']",['--'],"['colour', 'shape', 'with', 'part_or_object']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,False,False,False,False,True,False,False,True,True,False,False,True
5579,5475717,boat_ship_ambi_unspec_2806560.png,boat,ship,unsp,the tug boat with a visible red life preserver on the stern,the tug boat with a visible red life preserver on the stern,"[('the', 'DT'), ('tug', 'NN'), ('boat', 'NN'), ('with', 'IN'), ('a', 'DT'), ('visible', 'JJ'), ('red', 'JJ'), ('life', 'NN'), ('preserver', 'NN'), ('on', 'IN'), ('the', 'DT'), ('stern', 'NN')]","(ROOT
  (NP
    (NP (DT the) (NN tug) (NN boat))
    (PP (IN with)
      (NP
        (NP (DT a) (JJ visible) (JJ red) (NN life) (NN preserver))
        (PP (IN on)
          (NP (DT the) (NN stern)))))))","[(ROOT, 0, 3), (det, 3, 1), (compound, 3, 2), (case, 9, 4), (det, 9, 5), (amod, 9, 6), (amod, 8, 7), (compound, 9, 8), (nmod, 3, 9), (case, 12, 10), (det, 12, 11), (nmod, 9, 12)]","['DT', 'NN', 'NN', 'IN', 'DT', 'JJ', 'JJ', 'NN', 'NN', 'IN', 'DT', 'NN']","['the', 'tug', 'boat', 'with', 'a', 'visible', 'red', 'life', 'preserver', 'on', 'the', 'stern']",boat,tug boat,boat,['tug'],"['with', 'a', 'visible', 'red', 'life', 'preserver', 'on', 'the', 'stern']","['colour', 'position', 'with', 'part_or_object']",tug,with a visible red life preserver on the stern,"['DT', 'NN']","['IN', 'DT', 'JJ', 'JJ', 'NN', 'NN', 'IN', 'DT', 'NN']",['--'],"['colour', 'position', 'with', 'part_or_object']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,False,False,False,False,True,True,False,True,True,False,False,True
1361,3839629,boat_ship_ambi_unspec_2806560.png,boat,ship,unsp,the boat with a visible red life preserver,the boat with a visible red life preserver,"[('the', 'DT'), ('boat', 'NN'), ('with', 'IN'), ('a', 'DT'), ('visible', 'JJ'), ('red', 'JJ'), ('life', 'NN'), ('preserver', 'NN')]","(ROOT
  (NP
    (NP (DT the) (NN boat))
    (PP (IN with)
      (NP (DT a) (JJ visible) (JJ red) (NN life) (NN preserver)))))","[(ROOT, 0, 2), (det, 2, 1), (case, 8, 3), (det, 8, 4), (amod, 8, 5), (amod, 7, 6), (compound, 8, 7), (nmod, 2, 8)]","['DT', 'NN', 'IN', 'DT', 'JJ', 'JJ', 'NN', 'NN']","['the', 'boat', 'with', 'a', 'visible', 'red', 'life', 'preserver']",boat,boat,boat,['--'],"['with', 'a', 'visible', 'red', 'life', 'preserver']","['colour', 'with', 'part_or_object']",--,with a visible red life preserver,['DT'],"['IN', 'DT', 'JJ', 'JJ', 'NN', 'NN']",['--'],"['colour', 'with', 'part_or_object']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,True,True,False,False,True
2979,8340084,boat_ship_ambi_unspec_2806560.png,boat,ship,unsp,the boat with life ring,the boat with life ring,"[('the', 'DT'), ('boat', 'NN'), ('with', 'IN'), ('life', 'NN'), ('ring', 'NN')]","(ROOT
  (NP
    (NP (DT the) (NN boat))
    (PP (IN with)
      (NP (NN life) (NN ring)))))","[(ROOT, 0, 2), (det, 2, 1), (case, 5, 3), (compound, 5, 4), (nmod, 2, 5)]","['DT', 'NN', 'IN', 'NN', 'NN']","['the', 'boat', 'with', 'life', 'ring']",boat,boat,boat,['--'],"['with', 'life', 'ring']","['shape', 'with', 'part_or_object']",--,with life ring,['DT'],"['IN', 'NN', 'NN']",['--'],"['shape', 'with', 'part_or_object']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,False,False,False,False,True,False,False,True,True,False,False,True
442,3994550,boat_ship_ambi_unspec_2806560.png,boat,ship,unsp,the boat with the orange life saving device,the boat with the orange life saving device,"[('the', 'DT'), ('boat', 'NN'), ('with', 'IN'), ('the', 'DT'), ('orange', 'JJ'), ('life', 'NN'), ('saving', 'VBG'), ('device', 'NN')]","(ROOT
  (NP
    (NP (DT the) (NN boat))
    (PP (IN with)
      (NP (DT the) (JJ orange)
        (ADJP (NN life) (VBG saving))
        (NN device)))))","[(ROOT, 0, 2), (det, 2, 1), (case, 8, 3), (det, 8, 4), (amod, 6, 5), (compound, 8, 6), (amod, 8, 7), (nmod, 2, 8)]","['DT', 'NN', 'IN', 'DT', 'JJ', 'NN', 'VBG', 'NN']","['the', 'boat', 'with', 'the', 'orange', 'life', 'saving', 'device']",boat,boat,boat,['--'],"['with', 'the', 'orange', 'life', 'saving', 'device']","['colour', 'action', 'with', 'part_or_object']",--,with the orange life saving device,['DT'],"['IN', 'DT', 'JJ', 'NN', 'VBG', 'NN']",['--'],"['colour', 'action', 'with', 'part_or_object']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,False,False,False,False,True,False,True,True,True,False,False,True
2079,6009880,boat_ship_ambi_unspec_2806560.png,boat,ship,unsp,the boat with red stripe,the boat with red stripe,"[('the', 'DT'), ('boat', 'NN'), ('with', 'IN'), ('red', 'JJ'), ('stripe', 'NN')]","(ROOT
  (NP
    (NP (DT the) (NN boat))
    (PP (IN with)
      (NP (JJ red) (NN stripe)))))","[(ROOT, 0, 2), (det, 2, 1), (case, 5, 3), (amod, 5, 4), (nmod, 2, 5)]","['DT', 'NN', 'IN', 'JJ', 'NN']","['the', 'boat', 'with', 'red', 'stripe']",boat,boat,boat,['--'],"['with', 'red', 'stripe']","['colour', 'with', 'part_or_object']",--,with red stripe,['DT'],"['IN', 'JJ', 'NN']",['--'],"['colour', 'with', 'part_or_object']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,True,True,False,False,True
4929,2952461,boat_ship_ambi_unspec_2806560.png,boat,ship,unsp,the boat with silver lifesaver ring on back,the boat with silver lifesaver ring on back,"[('the', 'DT'), ('boat', 'NN'), ('with', 'IN'), ('silver', 'NN'), ('lifesaver', 'NN'), ('ring', 'NN'), ('on', 'IN'), ('back', 'RB')]","(ROOT
  (NP
    (NP (DT the) (NN boat))
    (PP (IN with)
      (NP
        (NP (NN silver) (NN lifesaver) (NN ring))
        (PP (IN on)
          (ADVP (RB back)))))))","[(ROOT, 0, 2), (det, 2, 1), (case, 6, 3), (compound, 5, 4), (compound, 6, 5), (nmod, 2, 6), (case, 8, 7), (advmod, 6, 8)]","['DT', 'NN', 'IN', 'NN', 'NN', 'NN', 'IN', 'RB']","['the', 'boat', 'with', 'silver', 'lifesaver', 'ring', 'on', 'back']",boat,boat,boat,['--'],"['with', 'silver', 'lifesaver', 'ring', 'on', 'back']","['colour', 'shape', 'position', 'position', 'with', 'part_or_object']",--,with silver lifesaver ring on back,['DT'],"['IN', 'NN', 'NN', 'NN', 'IN', 'RB']",['--'],"['colour', 'shape', 'position', 'position', 'with', 'part_or_object']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,False,False,False,False,True,True,False,True,True,False,False,True
3144,3233928,boat_ship_ambi_unspec_2806560.png,boat,ship,unsp,the boat with life jacket ring,the boat with life jacket ring,"[('the', 'DT'), ('boat', 'NN'), ('with', 'IN'), ('life', 'NN'), ('jacket', 'NN'), ('ring', 'NN')]","(ROOT
  (NP
    (NP (DT the) (NN boat))
    (PP (IN with)
      (NP (NN life) (NN jacket) (NN ring)))))","[(ROOT, 0, 2), (det, 2, 1), (case, 6, 3), (compound, 5, 4), (compound, 6, 5), (nmod, 2, 6)]","['DT', 'NN', 'IN', 'NN', 'NN', 'NN']","['the', 'boat', 'with', 'life', 'jacket', 'ring']",boat,boat,boat,['--'],"['with', 'life', 'jacket', 'ring']","['shape', 'with', 'part_or_object']",--,with life jacket ring,['DT'],"['IN', 'NN', 'NN', 'NN']",['--'],"['shape', 'with', 'part_or_object']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,False,False,False,False,True,False,False,True,True,False,False,True
1068,3169918,boat_ship_ambi_unspec_2806560.png,boat,ship,unsp,the boat with the red lifesaver,the boat with the red lifesaver,"[('the', 'DT'), ('boat', 'NN'), ('with', 'IN'), ('the', 'DT'), ('red', 'JJ'), ('lifesaver', 'NN')]","(ROOT
  (NP
    (NP (DT the) (NN boat))
    (PP (IN with)
      (NP (DT the) (JJ red) (NN lifesaver)))))","[(ROOT, 0, 2), (det, 2, 1), (case, 6, 3), (det, 6, 4), (amod, 6, 5), (nmod, 2, 6)]","['DT', 'NN', 'IN', 'DT', 'JJ', 'NN']","['the', 'boat', 'with', 'the', 'red', 'lifesaver']",boat,boat,boat,['--'],"['with', 'the', 'red', 'lifesaver']","['colour', 'with', 'part_or_object']",--,with the red lifesaver,['DT'],"['IN', 'DT', 'JJ', 'NN']",['--'],"['colour', 'with', 'part_or_object']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,True,True,False,False,True
1924,9850829,boat_ship_ambi_unspec_2806560.png,boat,ship,unsp,the boat with red life preserver,the boat with red life preserver,"[('the', 'DT'), ('boat', 'NN'), ('with', 'IN'), ('red', 'JJ'), ('life', 'NN'), ('preserver', 'NN')]","(ROOT
  (NP
    (NP (DT the) (NN boat))
    (PP (IN with)
      (NP (JJ red) (NN life) (NN preserver)))))","[(ROOT, 0, 2), (det, 2, 1), (case, 6, 3), (amod, 5, 4), (compound, 6, 5), (nmod, 2, 6)]","['DT', 'NN', 'IN', 'JJ', 'NN', 'NN']","['the', 'boat', 'with', 'red', 'life', 'preserver']",boat,boat,boat,['--'],"['with', 'red', 'life', 'preserver']","['colour', 'with', 'part_or_object']",--,with red life preserver,['DT'],"['IN', 'JJ', 'NN', 'NN']",['--'],"['colour', 'with', 'part_or_object']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,True,True,False,False,True
4580,8243240,boat_ship_ambi_unspec_2806560.png,boat,ship,unsp,the boat with a red life preserver,the boat with a red life preserver,"[('the', 'DT'), ('boat', 'NN'), ('with', 'IN'), ('a', 'DT'), ('red', 'JJ'), ('life', 'NN'), ('preserver', 'NN')]","(ROOT
  (NP
    (NP (DT the) (NN boat))
    (PP (IN with)
      (NP (DT a) (JJ red) (NN life) (NN preserver)))))","[(ROOT, 0, 2), (det, 2, 1), (case, 7, 3), (det, 7, 4), (amod, 6, 5), (compound, 7, 6), (nmod, 2, 7)]","['DT', 'NN', 'IN', 'DT', 'JJ', 'NN', 'NN']","['the', 'boat', 'with', 'a', 'red', 'life', 'preserver']",boat,boat,boat,['--'],"['with', 'a', 'red', 'life', 'preserver']","['colour', 'with', 'part_or_object']",--,with a red life preserver,['DT'],"['IN', 'DT', 'JJ', 'NN', 'NN']",['--'],"['colour', 'with', 'part_or_object']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,True,True,False,False,True
6745,1504427,building_church_ambi_unspec_2275493.png,building,church,unsp,the building with largest clock visible,the building with largest clock visible,"[('the', 'DT'), ('building', 'NN'), ('with', 'IN'), ('largest', 'JJS'), ('clock', 'NN'), ('visible', 'JJ')]","(ROOT
  (S
    (NP
      (NP (DT the) (NN building))
      (PP (IN with)
        (NP (JJS largest) (NN clock))))
    (ADJP (JJ visible))))","[(ROOT, 0, 2), (det, 2, 1), (case, 5, 3), (amod, 5, 4), (nmod, 2, 5), (amod, 5, 6)]","['DT', 'NN', 'IN', 'JJS', 'NN', 'JJ']","['the', 'building', 'with', 'largest', 'clock', 'visible']",building,building,building,['--'],"['with', 'largest', 'clock', 'visible']","['size', 'with', 'part_or_object']",--,with largest clock visible,['DT'],"['IN', 'JJS', 'NN', 'JJ']",['--'],"['size', 'with', 'part_or_object']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,False,False,False,False,True,False,False,True,True,False,False,True
