,X,vcode,imageFile,pairID,basname,spcname,cond,resp,resp.raw,pos_tagged,parsed,dep_parsed,tags_only,tokens,head_noun,objName,nameCat,ExprCategory,preNomMod,postNomMod,type_mod,grouped_tags
10,151,4782920,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the jumbo plane,the jumbo plane,"[('the', 'DT'), ('jumbo', 'JJ'), ('plane', 'NN')]","(ROOT
  (NP (DT the) (JJ jumbo) (NN plane)))","[(ROOT, 0, 3), (det, 3, 1), (amod, 3, 2)]","['DT', 'JJ', 'NN']","['the', 'jumbo', 'plane']",plane,plane,ref,syntax,['jumbo'],['--'],['--'],[]
11,6642,2651565,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the large plane,the large plane,"[('the', 'DT'), ('large', 'JJ'), ('plane', 'NN')]","(ROOT
  (NP (DT the) (JJ large) (NN plane)))","[(ROOT, 0, 3), (det, 3, 1), (amod, 3, 2)]","['DT', 'JJ', 'NN']","['the', 'large', 'plane']",plane,plane,ref,syntax,['large'],['--'],['size'],['visual']
12,902,2600406,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the landed flight,the landed flight,"[('the', 'DT'), ('landed', 'VBD'), ('flight', 'NN')]","(ROOT
  (FRAG
    (X (DT the))
    (VP (VBD landed)
      (NP (NN flight)))))","[(ROOT, 0, 3), (det, 3, 1), (amod, 3, 2)]","['DT', 'VBD', 'NN']","['the', 'landed', 'flight']",flight,flight,other,syntax,['landed'],['--'],['state_verb'],['action']
13,2780,2949171,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the white and red airplane with leaf on the wing,the white and red airplane with leaf on the wing,"[('the', 'DT'), ('white', 'JJ'), ('and', 'CC'), ('red', 'JJ'), ('airplane', 'NN'), ('with', 'IN'), ('leaf', 'NN'), ('on', 'IN'), ('the', 'DT'), ('wing', 'NN')]","(ROOT
  (NP
    (NP (DT the)
      (ADJP (JJ white)
        (CC and)
        (JJ red))
      (NN airplane))
    (PP (IN with)
      (NP
        (NP (NN leaf))
        (PP (IN on)
          (NP (DT the) (NN wing)))))))","[(ROOT, 0, 5), (det, 5, 1), (amod, 5, 2), (cc, 4, 3), (conj, 2, 4), (case, 7, 6), (nmod, 5, 7), (case, 10, 8), (det, 10, 9), (nmod, 5, 10)]","['DT', 'JJ', 'CC', 'JJ', 'NN', 'IN', 'NN', 'IN', 'DT', 'NN']","['the', 'white', 'and', 'red', 'airplane', 'with', 'leaf', 'on', 'the', 'wing']",airplane,airplane,ref,syntax,"['white', 'and', 'red']","['with', 'leaf', 'on', 'the', 'wing']","['colour', 'colour', 'position', 'with', 'part_or_object']","['visual', 'part', 'pos_orient']"
14,1028,3169918,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the white aircraft,the white aircraft,"[('the', 'DT'), ('white', 'JJ'), ('aircraft', 'NN')]","(ROOT
  (NP (DT the) (JJ white) (NN aircraft)))","[(ROOT, 0, 3), (det, 3, 1), (amod, 3, 2)]","['DT', 'JJ', 'NN']","['the', 'white', 'aircraft']",aircraft,aircraft,ref,syntax,['white'],['--'],['colour'],['visual']
15,5040,4715719,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the passenger plane,the passenger plane,"[('the', 'DT'), ('passenger', 'NN'), ('plane', 'NN')]","(ROOT
  (NP (DT the) (NN passenger) (NN plane)))","[(ROOT, 0, 3), (det, 3, 1), (compound, 3, 2)]","['DT', 'NN', 'NN']","['the', 'passenger', 'plane']",plane,plane,ref,syntax,['passenger'],['--'],['--'],[]
16,2675,4868622,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the white airplane,the white airplane,"[('the', 'DT'), ('white', 'JJ'), ('airplane', 'NN')]","(ROOT
  (NP (DT the) (JJ white) (NN airplane)))","[(ROOT, 0, 3), (det, 3, 1), (amod, 3, 2)]","['DT', 'JJ', 'NN']","['the', 'white', 'airplane']",airplane,airplane,ref,syntax,['white'],['--'],['colour'],['visual']
17,3200,3684450,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the airplane in this picture,the airplane in this picture,"[('the', 'DT'), ('airplane', 'NN'), ('in', 'IN'), ('this', 'DT'), ('picture', 'NN')]","(ROOT
  (NP
    (NP (DT the) (NN airplane))
    (PP (IN in)
      (NP (DT this) (NN picture)))))","[(ROOT, 0, 2), (det, 2, 1), (case, 5, 3), (det, 5, 4), (nmod, 2, 5)]","['DT', 'NN', 'IN', 'DT', 'NN']","['the', 'airplane', 'in', 'this', 'picture']",airplane,airplane,ref,syntax,['--'],"['in', 'this', 'picture']",['--'],[]
18,3550,9284775,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the white jet,the white jet,"[('the', 'DT'), ('white', 'JJ'), ('jet', 'NN')]","(ROOT
  (NP (DT the) (JJ white) (NN jet)))","[(ROOT, 0, 3), (det, 3, 1), (amod, 3, 2)]","['DT', 'JJ', 'NN']","['the', 'white', 'jet']",jet,jet,spec,syntax,['white'],['--'],['colour'],['visual']
19,4909,2952461,airplane_jet_ambi_spec_1765928.png,1,airplane,jet,spec,the large whitish plane,the large whitish plane,"[('the', 'DT'), ('large', 'JJ'), ('whitish', 'JJ'), ('plane', 'NN')]","(ROOT
  (NP (DT the)
    (ADJP (JJ large) (JJ whitish))
    (NN plane)))","[(ROOT, 0, 4), (det, 4, 1), (amod, 4, 2), (amod, 4, 3)]","['DT', 'JJ', 'JJ', 'NN']","['the', 'large', 'whitish', 'plane']",plane,plane,ref,syntax,"['large', 'whitish']",['--'],['size'],['visual']
